"","variable","estimate"
"220","Vehicle.StyleExtended Cab Pickup:NumDoors.Clean3",-0.0288403710742266
"221","Vehicle.Style4dr Hatchback:NumDoors.Clean4",-0.00393448581526341
"222","Vehicle.StyleCoupe:NumDoors.Clean4",-0.029064493958443
"223","Vehicle.StylePassenger Minivan:NumDoors.Clean4",0.0662842665607259
"224","highway.MPG:Engine.HP.Clean",6.74251385742225e-06
"225","highway.MPG:Engine.Cylinders.Clean10",2.14203696420213e-06
"226","highway.MPG:Engine.Cylinders.Clean12",3.56360609495512e-05
"227","city.mpg:Engine.HP.Clean",5.39094100823466e-05
"228","city.mpg:Engine.Cylinders.Clean8",0.000196987235375085
"229","city.mpg:Engine.Cylinders.Clean10",0.0156882771590478
"230","city.mpg:Engine.Cylinders.Clean12",0.000405855417755789
"231","Popularity:Engine.HP.Clean",-9.12063977395077e-09
"232","Popularity:Engine.Cylinders.Clean4",7.57306557656042e-06
"233","Popularity:Engine.Cylinders.Clean8",-3.95036957493477e-06
"234","Popularity:Engine.Cylinders.Clean10",2.65058399639604e-06
"235","Popularity:Engine.Cylinders.Clean12",2.1161742796898e-06
"236","Engine.HP.Clean:Engine.Cylinders.Clean4",0.000120420539501142
"237","Engine.HP.Clean:Engine.Cylinders.Clean8",-6.03049397856974e-06
"238","Engine.HP.Clean:Engine.Cylinders.Clean10",4.34353143358174e-08
"239","Engine.Cylinders.Clean4:NumDoors.Clean3",-0.033998495598566
"240","Engine.Cylinders.Clean5:NumDoors.Clean4",0.0785603954394789
"241","Engine.Cylinders.Clean12:NumDoors.Clean4",0.000109866165735393
